"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"243481_at",-2.88115084257206,3.31418519230769,-18.5124323447877,9.19849052636625e-25,2.54431951383462e-22,46.1850487496258
"205730_s_at",-4.61655033259423,4.61923307692308,-18.4816067946281,9.93006672995001e-25,2.72147599471373e-22,46.1091440888857
"1554408_a_at",4.86831603104213,7.33442903846154,18.4620693567532,1.04240932244931e-24,2.83089942632074e-22,46.060984511797
"204482_at",-3.57596314855876,5.84071423076923,-18.4436467130485,1.09128030217476e-24,2.92420717302496e-22,46.0155368088794
"203996_s_at",-1.85202944567627,6.58753692307692,-18.4417855718742,1.09634520596792e-24,2.92420717302496e-22,46.010943521242
"1556364_at",-4.20494629711752,3.37888884615385,-18.4194467709427,1.15903507283325e-24,3.06405794077414e-22,45.9557835295433
"224428_s_at",5.63941647450111,8.65884480769231,18.4093685338219,1.18849857801426e-24,3.1143875457035e-22,45.9308809899591
"225468_at",5.02306849223947,6.93183903846154,18.3813401831775,1.2745043159725e-24,3.31071890704751e-22,45.8615698219814
"201088_at",3.17810864745011,12.1729346153846,18.3034540866712,1.54823639629198e-24,3.98710912641641e-22,45.6685376583768
"212021_s_at",5.14393864745011,6.76077596153846,18.2998077553385,1.56242619675617e-24,3.98926134835018e-22,45.6594851673461
"1554696_s_at",5.83015893569845,7.72255153846154,18.295395261521,1.57977437833748e-24,3.99937288170132e-22,45.6485287264706
"212141_at",4.41872651884701,8.375785,18.2478806072029,1.77946049005719e-24,4.46704396802339e-22,45.5304188475438
"230417_at",-3.27086261640798,3.93187153846154,-18.1844960665997,2.08641499079428e-24,5.19395625166647e-22,45.3724929963362
"222680_s_at",5.33340290465632,7.24796942307692,18.0352807414316,3.03946002390694e-24,7.50394952844397e-22,44.9990494832155
"201585_s_at",2.66986015521064,8.1832975,18.0308962707975,3.07335286111001e-24,7.52543196884749e-22,44.9880408900608
"206102_at",4.23517691796009,8.85662865384615,18.0195021262085,3.16323865236761e-24,7.68255514326646e-22,44.959422795291
"214845_s_at",5.19474847006653,8.07771846153846,17.9737847580469,3.55158829817354e-24,8.55617719607566e-22,44.8444585353291
"228519_x_at",-3.47417796008869,6.21129884615385,-17.9426040148684,3.84393197588775e-24,9.18638239325558e-22,44.7659219570221
"218355_at",5.48339099778271,6.35490653846154,17.9346119543811,3.92272466109799e-24,9.30028204769685e-22,44.7457753005854
"203145_at",4.47622137472284,5.82633384615385,17.9241961994046,4.02788085066564e-24,9.45863897092993e-22,44.719508717038
"1555618_s_at",4.51895776053215,8.17605711538462,17.9217642683911,4.05284299628102e-24,9.45863897092993e-22,44.7133741802267
"203766_s_at",-5.03892751662971,4.78146673076923,-17.9018757495916,4.26297507901127e-24,9.87192670816308e-22,44.6631818354963
"228811_at",-3.15876747228381,3.33721788461538,-17.7702848603858,5.96222762415643e-24,1.37007404474173e-21,44.3300237797948
"1554572_a_at",4.36657824833702,7.66964173076923,17.7626556959466,6.0796596608275e-24,1.38639445074733e-21,44.3106516053263
"238062_at",-4.56845232815964,3.19874923076923,-17.7390249875378,6.45852313610092e-24,1.46163228518745e-21,44.2506082152222
